,id,address,zip,za
0,1,"200 Willoughby Ave, Brooklyn, NY 11205",11205,1
1,2,"125 E 11th St, New York, NY 10003",10003,1
2,3,"319 Frost St, Brooklyn, NY 11222",11222,1
